鄉鎮市區,交易標的,土地位置建物門牌,都市土地使用分區,交易年月日,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-隔間,車位類別,備註,File,土地移轉坪數,建物移轉坪數,車位移轉坪數,地址,台北市,戶別,建物+車位移轉數,建物移轉數,每坪單價(萬),總價(萬),車位總價(萬),幾房,幾廳,幾衛,車位,車位單價(萬),交易年,交易月,MRT,MRT_DIST,MRT_Tput_UL,MRT_Commute_Time_UL,MRT_Tput_DL,MRT_Tput,sku_dist,sku_name,sku_109_total,sku_public,lat,log,建案名稱,棟及號,coor,MRT_ave,SKU_ave,coor_ave,DIST_ave,Latest,屋齡
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101221,23,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,5.31,39.74,7.1,南港區東新里興南街,1,A棟A1-23F號,46.84,,95.64,4140,340,3,2,2,1,340,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A1-23F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101221,24,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0211.csv,13.29,68.3,8.5,文山區木柵路一段209號,1,B棟B1-24F號,76.8,,81.11,5825,285,4,2,3,1,285,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,B棟B1-24F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101221,24,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0211.csv,11.63,59.78,8.0,文山區木柵路一段209號,1,B棟B6-24F號,67.78,,82.75,5201,255,3,2,3,1,255,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,B棟B6-24F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區福興路97號,住,1101221,4,5,華廈(10層含以下有電梯),住家用,RC,,有,其他,,a_lvr_land_b_111_0211.csv,24.09,19.880000000000003,6.15,文山區福興路97號,1,C棟1號,26.03,,57.34,1300,160,2,1,1,1,160,110,12,BR線_辛亥站,790.0,817.0,17.99,2794.0,1977.0,498.0,興隆國小,683.0,1.0,25.00618,121.54914,蔚來之森,C棟1號,121.54914_25.00618,59.69,61.94,59.69,68.02,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101220,25,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,2.99,22.43,7.1,南港區東新里興南街,1,B棟B5-25F號,29.53,,93.65,2440,340,2,2,1,1,340,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,B棟B5-25F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
士林區,房地(土地+建物)+車位,台北市士林區天母東路105巷9弄6號,住,1101220,11,12,住宅大樓(11層含以上有電梯),住家用,RC,,有,其他,雨遮不計價,a_lvr_land_b_111_0201.csv,7.11,46.68,3.97,士林區天母東路105巷9弄6號,1,A1號,46.68,42.71,92.0,4130,200,3,2,2,1,200,110,12,R線_石牌站,2149.0,3618.0,20.26,1855.0,-1763.0,177.0,三玉國小,792.0,1.0,25.11916,121.53599,天母桓琚,A1號,121.53599_25.11916,87.4,91.47,91.47,82.62,1.0,0
士林區,房地(土地+建物)+車位,台北市士林區天母東路105巷9弄6號,住,1101220,11,12,住宅大樓(11層含以上有電梯),住家用,RC,,有,其他,雨遮不計價,a_lvr_land_b_111_0201.csv,6.24,41.46,3.97,士林區天母東路105巷9弄6號,1,A3號,41.46,37.49,92.83,3680,200,3,2,2,1,200,110,12,R線_石牌站,2149.0,3618.0,20.26,1855.0,-1763.0,177.0,三玉國小,792.0,1.0,25.11916,121.53599,天母桓琚,A3號,121.53599_25.11916,87.4,91.47,91.47,82.62,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101219,18,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,2.97,22.229999999999997,7.1,南港區東新里興南街,1,A棟A6-18F號,29.33,,90.44,2350,340,2,2,1,1,340,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A6-18F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
萬華區,房地(土地+建物)+車位,台北市萬華區艋舺大道198號,商,1101218,9,11,住宅大樓(11層含以上有電梯),住家用,RC,,有,塔式車位,,a_lvr_land_b_111_0211.csv,4.27,21.89,6.4,萬華區艋舺大道198號,1,1棟9D號,28.29,,75.3,1828,180,2,2,1,1,180,110,12,BL線_龍山寺站,348.0,3511.0,16.12,2877.0,-634.0,294.0,雙園國小,608.0,1.0,25.03274,121.49963,冠輝京品,1棟9D號,121.49963_25.03274,64.23,74.5,76.06,68.45,1.0,0
萬華區,房地(土地+建物)+車位,台北市萬華區艋舺大道198號,商,1101218,9,11,住宅大樓(11層含以上有電梯),住家用,RC,,有,塔式車位,,a_lvr_land_b_111_0211.csv,4.24,21.740000000000002,6.4,萬華區艋舺大道198號,1,1棟9A號,28.14,,74.88,1808,180,2,2,1,1,180,110,12,BL線_龍山寺站,348.0,3511.0,16.12,2877.0,-634.0,294.0,雙園國小,608.0,1.0,25.03274,121.49963,冠輝京品,1棟9A號,121.49963_25.03274,64.23,74.5,76.06,68.45,1.0,0
中山區,房地(土地+建物)+車位,台北市中山區晴光里雙城街,商,1101217,2,15,住宅大樓(11層含以上有電梯),住家用,RC,,有,其他,,a_lvr_land_b_111_0201.csv,2.85,36.03,5.95,中山區晴光里雙城街,1,A5-2F號,36.03,30.08,85.25,2735,170,3,2,2,1,170,110,12,R線_圓山站,531.0,3352.0,14.02,2977.0,-375.0,559.0,中山國小,1513.0,1.0,25.06842,121.52466,合矩青山,A5-2F號,121.52466_25.06842,84.17,87.06,84.17,98.75,1.0,0
中山區,房地(土地+建物)+車位,台北市中山區興亞里吉林路14巷,住,1101217,14,14,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,,a_lvr_land_b_111_0201.csv,7.43,75.62,19.49,中山區興亞里吉林路14巷,1,A-14F號,75.62,56.13000000000001,140.38,8650,770,3,2,3,2,385,110,12,G線_松江南京站,386.0,1315.0,12.24,3369.0,2054.0,111.0,長安國小,576.0,1.0,25.05066,121.52965,序東騰,A-14F號,121.52965_25.05066,109.94,120.89,132.27,98.75,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101216,12,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0201.csv,2.97,29.33,7.1,南港區東新里興南街,1,A棟A5-12F號,29.33,22.23,89.09,2320,340,2,2,1,1,340,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A5-12F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101216,12,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,2.97,22.229999999999997,7.1,南港區東新里興南街,1,A棟A5-12F號,29.33,,89.09,2320,340,2,2,1,1,340,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A5-12F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
大安區,房地(土地+建物)+車位,台北市大安區仁慈里大安路一段206巷15號,住,1101216,5,12,住宅大樓(11層含以上有電梯),住家用,RC,,有,其他,倉儲式機械車位,a_lvr_land_b_111_0201.csv,6.02,47.9,5.3,大安區仁慈里大安路一段206巷15號,1,A-05號,47.9,42.6,143.2,6400,300,3,2,2,1,300,110,12,R線_大安站,205.0,1513.0,13.86,4172.0,2659.0,618.0,私立復興實驗高中附小,1802.0,0.0,25.03482,121.54482,大安謙?,A-05號,121.54482_25.03482,146.39,141.06,146.39,123.84,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101215,26,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0201.csv,9.5,56.9,8.0,文山區木柵路一段209號,1,A棟A5-26F號,56.9,48.9,79.65,4150,255,3,2,2,1,255,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,A棟A5-26F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101215,13,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0201.csv,6.33,54.4,7.1,南港區東新里興南街,1,A棟A3-13F號,54.4,47.3,86.9,4430,320,3,2,2,1,320,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A3-13F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
中山區,房地(土地+建物)+車位,台北市中山區興亞里吉林路14巷,住,1101215,14,14,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,,a_lvr_land_b_111_0201.csv,7.37,65.44,9.75,中山區興亞里吉林路14巷,1,B-14F號,65.44,55.69,140.12,8169,365,3,2,3,1,365,110,12,G線_松江南京站,386.0,1315.0,12.24,3369.0,2054.0,111.0,長安國小,576.0,1.0,25.05066,121.52965,序東騰,B-14F號,121.52965_25.05066,109.94,120.89,132.27,98.75,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101215,19,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0201.csv,11.83,69.3,8.5,文山區木柵路一段209號,1,A棟A3-19F號,69.3,60.8,75.99,4840,220,3,2,3,1,220,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,A棟A3-19F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101215,27,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0201.csv,10.03,68.61,17.0,文山區木柵路一段209號,1,A棟A2-27F號,68.61,51.61,80.02,4670,540,3,2,2,2,270,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,A棟A2-27F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101215,4,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,5.09,38.19,7.1,南港區東新里興南街,1,A棟A9-4F號,45.29,,87.02,3633,310,3,2,2,1,310,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A9-4F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101215,13,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,6.33,47.3,7.1,南港區東新里興南街,1,A棟A3-13F號,54.4,,86.9,4430,320,3,2,2,1,320,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A3-13F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101215,4,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0201.csv,5.09,45.29,7.1,南港區東新里興南街,1,A棟A9-4F號,45.29,38.19,87.02,3633,310,3,2,2,1,310,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A9-4F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
中正區,房地(土地+建物)+車位,台北市中正區幸福里齊東街82巷42號,住,1101214,12,21,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,,a_lvr_land_b_111_0211.csv,2.79,25.669999999999995,6.49,中正區幸福里齊東街82巷42號,1,H-12F號,32.16,,129.9,3650,315,1,2,1,1,315,110,12,O線_忠孝新生站,464.0,1595.0,11.38,2940.0,1345.0,309.0,忠孝國小,347.0,1.0,25.04243,121.52853,安家藏玉,H-12F號,121.52853_25.04243,128.29,125.57,128.29,112.41,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101214,6,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0211.csv,2.97,22.229999999999997,7.1,南港區東新里興南街,1,A棟A5-6F號,29.33,,87.88,2283,330,2,2,1,1,330,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A5-6F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1101214,6,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0201.csv,2.97,29.33,7.1,南港區東新里興南街,1,A棟A5-6F號,29.33,22.23,87.88,2283,330,2,2,1,1,330,110,12,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A5-6F號,121.60443_25.05771,86.71,88.32,86.13,86.24,1.0,0
大同區,房地(土地+建物)+車位,台北市大同區承德路二段146號,住,1101214,22,24,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價,a_lvr_land_b_111_0201.csv,4.44,57.96,11.15,大同區承德路二段146號,1,A棟1號,57.96,46.81,101.27,5040,300,3,2,2,1,300,110,12,R線_民權西路站,352.0,1668.0,12.98,2928.0,1260.0,139.0,雙蓮國小,968.0,1.0,25.05976,121.518,城心曜曜,A棟1號,121.518_25.05976,92.3,90.59,102.44,79.43,1.0,0
中正區,房地(土地+建物)+車位,台北市中正區幸福里齊東街82巷42號,住,1101214,12,21,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,,a_lvr_land_b_111_0201.csv,2.79,32.16,6.49,中正區幸福里齊東街82巷42號,1,H-12F號,32.16,25.669999999999995,129.9,3650,315,1,2,1,1,315,110,12,O線_忠孝新生站,464.0,1595.0,11.38,2940.0,1345.0,309.0,忠孝國小,347.0,1.0,25.04243,121.52853,安家藏玉,H-12F號,121.52853_25.04243,128.29,125.57,128.29,112.41,1.0,0
大同區,房地(土地+建物)+車位,台北市大同區承德路二段146號,住,1101214,22,24,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價,a_lvr_land_b_111_0201.csv,4.44,57.96,11.15,大同區承德路二段146號,1,A棟3號,57.96,46.81,101.27,5040,300,3,2,2,1,300,110,12,R線_民權西路站,352.0,1668.0,12.98,2928.0,1260.0,139.0,雙蓮國小,968.0,1.0,25.05976,121.518,城心曜曜,A棟3號,121.518_25.05976,92.3,90.59,102.44,79.43,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101214,17,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0201.csv,11.83,77.8,17.0,文山區木柵路一段209號,1,A棟A3-17F號,77.8,60.8,75.46,5028,440,3,2,3,2,220,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,A棟A3-17F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
萬華區,房地(土地+建物)+車位,台北市萬華區雙園里莒光路347巷,住,1101213,10,14,住宅大樓(11層含以上有電梯),住家用,RC,,有,坡道平面,,a_lvr_land_b_111_0201.csv,4.53,36.65,10.29,萬華區雙園里莒光路347巷,1,甲棟A-10F號,36.65,26.36,75.3,2275,290,2,2,2,1,290,110,12,BL線_龍山寺站,599.0,3511.0,16.12,2877.0,-634.0,130.0,雙園國小,608.0,1.0,25.03091,121.4971,中正城閱.,甲棟A-10F號,121.4971_25.03091,64.23,74.5,71.75,68.45,1.0,0
萬華區,房地(土地+建物)+車位,台北市萬華區雙園里莒光路347巷,住,1101213,10,14,住宅大樓(11層含以上有電梯),住家用,RC,,有,坡道平面,,a_lvr_land_b_111_0211.csv,4.53,26.36,10.29,萬華區雙園里莒光路347巷,1,甲棟A-10F號,36.65,,75.3,2275,290,2,2,2,1,290,110,12,BL線_龍山寺站,599.0,3511.0,16.12,2877.0,-634.0,130.0,雙園國小,608.0,1.0,25.03091,121.4971,中正城閱.,甲棟A-10F號,121.4971_25.03091,64.23,74.5,71.75,68.45,1.0,0
大同區,房地(土地+建物)+車位,台北市大同區民生西路251號,商,1101213,24,24,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,,a_lvr_land_b_111_0201.csv,3.74,55.69,10.5,大同區民生西路251號,1,A棟4號,55.69,45.19,98.02,4728,298,4,2,2,1,298,110,12,G線_中山站,664.0,1523.0,12.09,3479.0,1956.0,139.0,蓬萊國小,704.0,1.0,25.05718,121.51463,雲極,A棟4號,121.51463_25.05718,90.71,88.01,90.71,79.43,1.0,0
大同區,房地(土地+建物)+車位,台北市大同區民生西路251號,商,1101213,24,24,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,,a_lvr_land_b_111_0201.csv,3.61,54.58,10.5,大同區民生西路251號,1,A棟5號,54.58,44.08,96.99,4616,340,4,2,2,1,340,110,12,G線_中山站,664.0,1523.0,12.09,3479.0,1956.0,139.0,蓬萊國小,704.0,1.0,25.05718,121.51463,雲極,A棟5號,121.51463_25.05718,90.71,88.01,90.71,79.43,1.0,0
大同區,房地(土地+建物)+車位,台北市大同區承德路二段146號,住,1101213,23,24,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價,a_lvr_land_b_111_0201.csv,6.46,87.83,22.31,大同區承德路二段146號,1,B棟1號,87.83,65.52,110.19,7780,560,3,2,2,2,280,110,12,R線_民權西路站,352.0,1668.0,12.98,2928.0,1260.0,139.0,雙蓮國小,968.0,1.0,25.05976,121.518,城心曜曜,B棟1號,121.518_25.05976,92.3,90.59,102.44,79.43,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101212,19,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0201.csv,10.03,59.61,8.0,文山區木柵路一段209號,1,B棟B2-19F號,59.61,51.61,75.56,4100,200,3,2,2,1,200,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,B棟B2-19F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
大同區,房地(土地+建物)+車位,台北市大同區承德路二段146號,住,1101212,19,24,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價,a_lvr_land_b_111_0201.csv,4.44,57.8,11.15,大同區承德路二段146號,1,A棟2號,57.8,46.65,109.28,5337,240,3,2,2,1,240,110,12,R線_民權西路站,352.0,1668.0,12.98,2928.0,1260.0,139.0,雙蓮國小,968.0,1.0,25.05976,121.518,城心曜曜,A棟2號,121.518_25.05976,92.3,90.59,102.44,79.43,1.0,0
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1101212,19,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0211.csv,10.03,51.61,8.0,文山區木柵路一段209號,1,B棟B2-19F號,59.61,,75.56,4100,200,3,2,2,1,200,110,12,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,B棟B2-19F號,121.55161_24.98787,72.14,72.81,72.81,68.02,1.0,0
